,time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
21,24,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
22,25,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
23,26,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
24,27,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
25,28,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
26,29,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
27,30,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
28,31,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
29,33,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
30,34,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
31,35,-1e-05,1e-05,2e-05,1e-05,1e-05,7e-05,-1e-05,0,1
32,43,-1e-05,0,0,1e-05,1e-05,0,-3e-05,0,1
33,45,-1e-05,-4e-05,-6e-05,-5e-05,-4e-05,-1e-05,-3e-05,-1e-05,1
34,46,1e-05,0,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,-1e-05,1
35,47,-1e-05,0,0,0,-1e-05,-2e-05,0,-1e-05,1
36,48,-1e-05,0,0,0,-1e-05,-2e-05,0,-1e-05,1
37,49,-1e-05,0,0,0,-1e-05,-2e-05,0,-1e-05,1
38,50,-1e-05,0,0,0,-1e-05,-2e-05,0,-1e-05,1
39,51,-1e-05,0,0,0,-1e-05,-2e-05,0,-1e-05,1
40,52,-1e-05,0,0,0,-1e-05,-2e-05,0,-1e-05,1
41,53,-1e-05,0,0,0,-1e-05,-2e-05,0,-1e-05,1
42,54,-1e-05,0,0,0,-1e-05,-2e-05,0,-1e-05,1
43,55,-1e-05,0,0,0,-1e-05,-2e-05,0,-1e-05,1
44,56,-1e-05,0,0,0,-1e-05,-2e-05,0,-1e-05,1
45,57,-3e-05,0,-5e-05,-2e-05,-1e-05,-2e-05,0,-2e-05,1
46,58,-3e-05,0,-5e-05,-2e-05,-1e-05,-2e-05,0,-2e-05,1
47,59,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
48,60,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
49,61,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
50,62,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
51,63,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
52,64,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
53,65,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
54,66,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
55,67,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
56,68,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
57,69,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
58,70,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
59,71,0,-2e-05,-4e-05,-3e-05,0,-1e-05,-1e-05,0,1
60,72,-2e-05,1e-05,1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-1e-05,1
61,73,-2e-05,1e-05,1e-05,-1e-05,-1e-05,-1e-05,-2e-05,-1e-05,1
62,74,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
63,75,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
64,76,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
65,77,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
66,78,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
67,79,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
68,80,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
69,81,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
70,82,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
71,83,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
72,84,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
73,85,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
74,86,-2e-05,-2e-05,-5e-05,-4e-05,-1e-05,-2e-05,-2e-05,0,1
75,88,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
76,89,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
77,90,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
78,91,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
79,92,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
80,93,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
81,94,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
82,95,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
83,96,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
84,97,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
85,98,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
86,99,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
87,100,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
88,101,-1e-05,-2e-05,0,0,1e-05,2e-05,0,0,1
89,102,-1e-05,0,-3e-05,-1e-05,1e-05,-2e-05,0,-1e-05,1
90,103,-1e-05,0,-3e-05,-1e-05,1e-05,-2e-05,0,-1e-05,1
91,105,-1e-05,0,-3e-05,-1e-05,1e-05,-2e-05,0,-1e-05,1
92,106,-1e-05,0,-3e-05,-1e-05,1e-05,-2e-05,0,-1e-05,1
93,107,-1e-05,0,-3e-05,-1e-05,1e-05,-2e-05,0,-1e-05,1
94,108,-1e-05,0,-3e-05,-1e-05,1e-05,-2e-05,0,-1e-05,1
95,109,-1e-05,0,-3e-05,-1e-05,1e-05,-2e-05,0,-1e-05,1
96,110,-1e-05,-2e-05,3e-05,0,1e-05,-1e-05,-1e-05,-2e-05,1
97,111,-1e-05,-2e-05,3e-05,0,1e-05,-1e-05,-1e-05,-2e-05,1
98,112,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
99,113,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
100,114,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
101,115,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
102,116,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
103,117,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
104,118,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
105,119,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
106,120,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
107,121,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
108,122,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
109,123,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
110,125,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
111,126,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
112,127,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
113,128,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
114,129,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
115,130,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
116,131,0,0,0,0,-1e-05,-1e-05,0,-1e-05,1
117,132,-2e-05,0,3e-05,1e-05,-2e-05,2e-05,0,2e-05,1
118,133,-2e-05,0,3e-05,1e-05,-2e-05,2e-05,0,2e-05,1
119,134,-1e-05,-4e-05,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,-1e-05,1
120,135,-1e-05,-4e-05,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,-1e-05,1
121,136,-1e-05,-4e-05,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,-1e-05,1
122,138,-1e-05,-4e-05,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,-1e-05,1
123,140,-1e-05,-4e-05,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,-1e-05,1
124,141,-1e-05,-4e-05,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,-1e-05,1
125,142,-1e-05,-4e-05,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,-1e-05,1
126,143,-1e-05,-4e-05,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,-1e-05,1
127,144,-1e-05,-4e-05,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,-1e-05,1
128,145,-1e-05,-4e-05,-2e-05,-2e-05,-1e-05,-2e-05,-1e-05,-1e-05,1
129,146,0,-1e-05,0,-2e-05,-2e-05,-2e-05,0,0,1
130,147,0,-1e-05,0,-2e-05,-2e-05,-2e-05,0,0,1
131,148,0,-1e-05,0,-2e-05,-2e-05,-2e-05,0,0,1
132,149,0,-1e-05,0,-2e-05,-2e-05,-2e-05,0,0,1
133,150,0,-1e-05,0,-2e-05,-2e-05,-2e-05,0,0,1
134,151,0,-1e-05,0,-2e-05,-2e-05,-2e-05,0,0,1
135,152,0,-1e-05,0,-2e-05,-2e-05,-2e-05,0,0,1
136,153,0,-1e-05,0,-2e-05,-2e-05,-2e-05,0,0,1
137,154,1e-05,-2e-05,-4e-05,-1e-05,-2e-05,0,-1e-05,-1e-05,1
138,155,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
139,156,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
140,157,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
141,158,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
142,159,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
143,160,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
144,161,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
145,162,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
146,163,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
147,164,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
148,165,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
149,166,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
150,167,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
151,168,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
152,169,0,0,2e-05,2e-05,0,-2e-05,-2e-05,-1e-05,1
153,170,-1e-05,-3e-05,0,0,-1e-05,-4e-05,-2e-05,-2e-05,1
154,171,-2e-05,-4e-05,-2e-05,-2e-05,-2e-05,-1e-05,-1e-05,-1e-05,1
155,172,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
156,173,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
157,174,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
158,175,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
159,176,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
160,177,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
161,178,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
162,179,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
163,180,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
164,181,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
165,182,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
166,183,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
167,184,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
168,185,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
169,186,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
170,188,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
171,189,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
172,190,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
173,191,0,1e-05,1e-05,0,1e-05,3e-05,0,-2e-05,1
174,192,-1e-05,0,0,1e-05,-3e-05,0,-1e-05,-1e-05,1
175,193,0,1e-05,0,2e-05,3e-05,3e-05,-1e-05,0,1
176,195,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
177,196,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
178,197,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
179,198,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
180,199,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
181,200,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
182,201,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
183,202,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
184,203,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
185,204,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
186,205,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
187,206,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
188,207,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
189,208,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
190,209,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
191,210,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
192,211,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
193,212,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
194,213,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
195,214,-1e-05,-3e-05,-3e-05,-4e-05,-5e-05,-6e-05,-3e-05,-1e-05,1
196,215,0,-2e-05,-4e-05,-3e-05,-2e-05,1e-05,-2e-05,-2e-05,1
197,216,-1e-05,0,0,-2e-05,-1e-05,0,1e-05,0,1
198,217,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
199,218,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
200,219,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
201,220,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
202,221,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
203,222,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
204,223,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
205,225,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
206,226,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
207,227,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
208,228,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
209,229,-1e-05,0,-1e-05,0,-1e-05,-1e-05,0,-2e-05,1
210,230,-2e-05,-2e-05,-4e-05,-1e-05,0,-1e-05,-2e-05,0,1
211,231,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
212,232,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
213,233,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
214,234,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
215,235,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
216,236,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
217,238,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
218,239,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
219,240,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
220,241,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
221,242,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
222,243,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
223,245,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
224,246,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
225,247,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
226,248,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
227,249,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
228,251,1e-05,-1e-05,-1e-05,-2e-05,-2e-05,-2e-05,0,-1e-05,1
229,252,1e-05,1e-05,1e-05,1e-05,-1e-05,2e-05,1e-05,-1e-05,1
230,253,1e-05,1e-05,1e-05,1e-05,-1e-05,2e-05,1e-05,-1e-05,1
231,254,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
232,255,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
233,256,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
234,257,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
235,259,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
236,260,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
237,261,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
238,262,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
239,263,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
240,264,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
241,265,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
242,267,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
243,268,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
244,269,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
245,270,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
246,271,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
247,272,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
248,273,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
249,275,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
250,276,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
251,277,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
252,278,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
253,279,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
254,280,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
255,281,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
256,283,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
257,284,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
258,285,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
259,286,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
260,289,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
261,290,-1e-05,-3e-05,-1e-05,-3e-05,2e-05,1e-05,-1e-05,0,1
262,291,1e-05,-3e-05,0,0,-3e-05,-3e-05,-2e-05,0,1
263,292,1e-05,-3e-05,0,0,-3e-05,-3e-05,-2e-05,0,1
264,293,0,-1e-05,0,0,-1e-05,0,-1e-05,0,1
265,294,0,2e-05,2e-05,0,-1e-05,0,-1e-05,0,1
266,295,0,2e-05,2e-05,0,-1e-05,0,-1e-05,0,1
267,296,0,2e-05,2e-05,0,-1e-05,0,-1e-05,0,1
268,297,0,2e-05,2e-05,0,-1e-05,0,-1e-05,0,1
269,298,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
270,299,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
271,300,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
272,301,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
273,302,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
274,303,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
275,304,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
276,305,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
277,306,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
278,307,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
279,308,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
280,309,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
281,310,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
282,311,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
283,312,0,-1e-05,0,1e-05,-5e-05,-6e-05,-2e-05,0,1
284,313,-2e-05,-4e-05,-8e-05,-4e-05,-2e-05,0,-1e-05,-1e-05,1
285,314,-2e-05,0,0,1e-05,2e-05,-1e-05,-1e-05,-1e-05,1
286,315,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
287,316,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
288,317,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
289,318,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
290,319,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
291,320,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
292,321,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
293,322,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
294,323,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
295,324,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
296,325,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
297,326,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
298,327,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
299,328,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
300,329,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
301,330,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
302,331,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
303,332,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
304,333,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
305,334,-1e-05,1e-05,3e-05,-1e-05,-5e-05,-3e-05,-2e-05,-1e-05,1
306,335,0,1e-05,2e-05,2e-05,-2e-05,-3e-05,-1e-05,-1e-05,1
307,336,0,1e-05,2e-05,2e-05,-2e-05,-3e-05,-1e-05,-1e-05,1
308,339,-3e-05,0,-2e-05,-3e-05,-1e-05,-1e-05,-1e-05,-1e-05,1
309,340,-3e-05,0,-2e-05,-3e-05,-1e-05,-1e-05,-1e-05,-1e-05,1
310,341,-3e-05,0,-2e-05,-3e-05,-1e-05,-1e-05,-1e-05,-1e-05,1
311,342,-3e-05,0,-2e-05,-3e-05,-1e-05,-1e-05,-1e-05,-1e-05,1
312,343,-3e-05,0,-2e-05,-3e-05,-1e-05,-1e-05,-1e-05,-1e-05,1
